SAMPID	TISSUE_ABBRV	TISSUE_NAME
HG00096	LCL	Cells_EBV-transformed_lymphocytes
HG00097	LCL	Cells_EBV-transformed_lymphocytes
HG00099	LCL	Cells_EBV-transformed_lymphocytes
HG00100	LCL	Cells_EBV-transformed_lymphocytes
HG00101	LCL	Cells_EBV-transformed_lymphocytes
HG00102	LCL	Cells_EBV-transformed_lymphocytes
HG00103	LCL	Cells_EBV-transformed_lymphocytes
HG00105	LCL	Cells_EBV-transformed_lymphocytes
HG00106	LCL	Cells_EBV-transformed_lymphocytes
HG00108	LCL	Cells_EBV-transformed_lymphocytes
HG00109	LCL	Cells_EBV-transformed_lymphocytes
HG00110	LCL	Cells_EBV-transformed_lymphocytes
HG00111	LCL	Cells_EBV-transformed_lymphocytes
HG00112	LCL	Cells_EBV-transformed_lymphocytes
HG00114	LCL	Cells_EBV-transformed_lymphocytes
HG00115	LCL	Cells_EBV-transformed_lymphocytes
HG00116	LCL	Cells_EBV-transformed_lymphocytes
HG00117	LCL	Cells_EBV-transformed_lymphocytes
HG00118	LCL	Cells_EBV-transformed_lymphocytes
HG00119	LCL	Cells_EBV-transformed_lymphocytes
HG00120	LCL	Cells_EBV-transformed_lymphocytes
HG00121	LCL	Cells_EBV-transformed_lymphocytes
HG00122	LCL	Cells_EBV-transformed_lymphocytes
HG00123	LCL	Cells_EBV-transformed_lymphocytes
HG00125	LCL	Cells_EBV-transformed_lymphocytes
HG00126	LCL	Cells_EBV-transformed_lymphocytes
HG00127	LCL	Cells_EBV-transformed_lymphocytes
HG00128	LCL	Cells_EBV-transformed_lymphocytes
HG00129	LCL	Cells_EBV-transformed_lymphocytes
HG00130	LCL	Cells_EBV-transformed_lymphocytes
HG00131	LCL	Cells_EBV-transformed_lymphocytes
HG00132	LCL	Cells_EBV-transformed_lymphocytes
HG00133	LCL	Cells_EBV-transformed_lymphocytes
HG00136	LCL	Cells_EBV-transformed_lymphocytes
HG00137	LCL	Cells_EBV-transformed_lymphocytes
HG00138	LCL	Cells_EBV-transformed_lymphocytes
HG00139	LCL	Cells_EBV-transformed_lymphocytes
HG00141	LCL	Cells_EBV-transformed_lymphocytes
HG00142	LCL	Cells_EBV-transformed_lymphocytes
HG00143	LCL	Cells_EBV-transformed_lymphocytes
HG00145	LCL	Cells_EBV-transformed_lymphocytes
HG00146	LCL	Cells_EBV-transformed_lymphocytes
HG00148	LCL	Cells_EBV-transformed_lymphocytes
HG00149	LCL	Cells_EBV-transformed_lymphocytes
HG00150	LCL	Cells_EBV-transformed_lymphocytes
HG00151	LCL	Cells_EBV-transformed_lymphocytes
HG00154	LCL	Cells_EBV-transformed_lymphocytes
HG00155	LCL	Cells_EBV-transformed_lymphocytes
HG00157	LCL	Cells_EBV-transformed_lymphocytes
HG00158	LCL	Cells_EBV-transformed_lymphocytes
HG00159	LCL	Cells_EBV-transformed_lymphocytes
HG00160	LCL	Cells_EBV-transformed_lymphocytes
HG00171	LCL	Cells_EBV-transformed_lymphocytes
HG00173	LCL	Cells_EBV-transformed_lymphocytes
HG00174	LCL	Cells_EBV-transformed_lymphocytes
HG00176	LCL	Cells_EBV-transformed_lymphocytes
HG00177	LCL	Cells_EBV-transformed_lymphocytes
HG00178	LCL	Cells_EBV-transformed_lymphocytes
HG00179	LCL	Cells_EBV-transformed_lymphocytes
HG00180	LCL	Cells_EBV-transformed_lymphocytes
HG00181	LCL	Cells_EBV-transformed_lymphocytes
HG00182	LCL	Cells_EBV-transformed_lymphocytes
HG00183	LCL	Cells_EBV-transformed_lymphocytes
HG00185	LCL	Cells_EBV-transformed_lymphocytes
HG00186	LCL	Cells_EBV-transformed_lymphocytes
HG00187	LCL	Cells_EBV-transformed_lymphocytes
HG00188	LCL	Cells_EBV-transformed_lymphocytes
